source,title,description,text,label
CoinTelegraph,Allbridge to first begin repaying stuck bridge users after recouping funds,"The compensation process is expected to start next week, starting with users who had funds on the bridge “shortly before the shutdown.”","Source: CoinTelegraph Title: Allbridge to first begin repaying stuck bridge users after recouping funds Description: The compensation process is expected to start next week, starting with users who had funds on the bridge “shortly before the shutdown.”",0
CryptoPotato,Bitcoin Hodl Patterns Indicate Cycle Shift to Bull Market,"On-chain analytics revealed a sentiment shift for BTC holders, suggesting a cycle inflection point could be occurring.","Source: CryptoPotato Title: Bitcoin Hodl Patterns Indicate Cycle Shift to Bull Market Description: On-chain analytics revealed a sentiment shift for BTC holders, suggesting a cycle inflection point could be occurring.",1
CoinTelegraph,ETH hits 7-month high ahead of Shanghai and Capella upgrades,"Ether has broken the $1,900 resistance level for the first time in months and is currently sitting above $1,911.","Source: CoinTelegraph Title: ETH hits 7-month high ahead of Shanghai and Capella upgrades Description: Ether has broken the $1,900 resistance level for the first time in months and is currently sitting above $1,911.",1
CoinTelegraph,"Marathon Digital posts quarterly record of 2,195 Bitcoin mined in Q1","With a new quarterly production record, Marathon Digital is now on track to meet its mid-year target of 23 exahashes.","Source: CoinTelegraph Title: Marathon Digital posts quarterly record of 2,195 Bitcoin mined in Q1 Description: With a new quarterly production record, Marathon Digital is now on track to meet its mid-year target of 23 exahashes.",1
CryptoPotato,Brazilian Finance Giant BTG Pactual to Issue a Stablecoin Pegged to the US Dollar (Report),The stablecoin BTG Dol will supposedly become the 23rd token available on the crypto platform Mynt.,Source: CryptoPotato Title: Brazilian Finance Giant BTG Pactual to Issue a Stablecoin Pegged to the US Dollar (Report) Description: The stablecoin BTG Dol will supposedly become the 23rd token available on the crypto platform Mynt.,0
CryptoNews,"Investors Continue Buying Bitcoin, Latest Fund Flows Report Shows \x93 Here's Why BTC Could Dominate Institutional Crypto Demand","As concerns about a regulatory crackdown in the US heat up, flows could head disproportionately towards the one cryptocurrency that seems to be in the regulatory all-clear - Bitcoin.","Source: CryptoNews Title: Investors Continue Buying Bitcoin, Latest Fund Flows Report Shows \x93 Here's Why BTC Could Dominate Institutional Crypto Demand Description: As concerns about a regulatory crackdown in the US heat up, flows could head disproportionately towards the one cryptocurrency that seems to be in the regulatory all-clear - Bitcoin.",1
CryptoNews,"Best Crypto to Buy Now 4 April \x93 SXP, SHIB, MASK","Amid concerns of a potential recession due to declining job openings and factory order data, investors are evaluating the impact of these economic indicators on the selection of the best cryptos to buy now.","Source: CryptoNews Title: Best Crypto to Buy Now 4 April \x93 SXP, SHIB, MASK Description: Amid concerns of a potential recession due to declining job openings and factory order data, investors are evaluating the impact of these economic indicators on the selection of the best cryptos to buy now.",1
CryptoPotato,Marathon Digital Announces a Record Bitcoin Production in Q1 2023,Marathon produced almost 40% of its Q1 bitcoin load in March. ,Source: CryptoPotato Title: Marathon Digital Announces a Record Bitcoin Production in Q1 2023 Description: Marathon produced almost 40% of its Q1 bitcoin load in March. ,1
CoinTelegraph,Masa announces soulbound ID tokens for Coinbase's Base Network,"The token protocol can be used for a wide variety of applications, including membership badges, loyalty programs, decentralized captcha bots, and credit underwriting.","Source: CoinTelegraph Title: Masa announces soulbound ID tokens for Coinbase's Base Network Description: The token protocol can be used for a wide variety of applications, including membership badges, loyalty programs, decentralized captcha bots, and credit underwriting.",0
CoinTelegraph,Crypto could eliminate 97% of traditional remittance fees: Coinbase,U.S. consumers sending international bank transfers pay more than $12 billion annually in remittance fees alone.,Source: CoinTelegraph Title: Crypto could eliminate 97% of traditional remittance fees: Coinbase Description: U.S. consumers sending international bank transfers pay more than $12 billion annually in remittance fees alone.,0
